house,category,constituency,district,state,representative,role,username,password
Lok Sabha,District Authority Auditor,ADILABAD(ST),ADILABAD(ST),Telangana,GODAM NAGESH,District Authority Auditor,auditor_adilabad,Auditor@Adilabad2026!
Lok Sabha,Member of Parliament (Lok Sabha),ADILABAD(ST),ADILABAD(ST),Telangana,GODAM NAGESH,Member of Parliament,mp_adilabad,MP@Adilabad2026!
Lok Sabha,District Authority Auditor,AGRA(SC),AGRA(SC),Uttar Pradesh,Prof SP Singh Baghel,District Authority Auditor,auditor_agra,Auditor@Agra2026!
Lok Sabha,Member of Parliament (Lok Sabha),AGRA(SC),AGRA(SC),Uttar Pradesh,Prof SP Singh Baghel,Member of Parliament,mp_agra,MP@Agra2026!
Lok Sabha,District Authority Auditor,AHMEDABAD EAST,AHMEDABAD EAST,Gujarat,Hasmukh Bhai Soma Bhai Patel,District Authority Auditor,auditor_ahmedabad_east,Auditor@AhmedabadEas2026!
Lok Sabha,Member of Parliament (Lok Sabha),AHMEDABAD EAST,AHMEDABAD EAST,Gujarat,Hasmukh Bhai Soma Bhai Patel,Member of Parliament,mp_ahmedabad_east,MP@AhmedabadEas2026!
Lok Sabha,District Authority Auditor,AHMEDABAD WEST(SC),AHMEDABAD WEST(SC),Gujarat,DINESHBHAI MAKWANA,District Authority Auditor,auditor_ahmedabad_west,Auditor@AhmedabadWes2026!
Lok Sabha,Member of Parliament (Lok Sabha),AHMEDABAD WEST(SC),AHMEDABAD WEST(SC),Gujarat,DINESHBHAI MAKWANA,Member of Parliament,mp_ahmedabad_west,MP@AhmedabadWes2026!
Lok Sabha,District Authority Auditor,AHMEDNAGAR,AHMEDNAGAR,Maharashtra,NILESH DNYANDEV LANKE,District Authority Auditor,auditor_ahmednagar,Auditor@Ahmednagar2026!
Lok Sabha,Member of Parliament (Lok Sabha),AHMEDNAGAR,AHMEDNAGAR,Maharashtra,NILESH DNYANDEV LANKE,Member of Parliament,mp_ahmednagar,MP@Ahmednagar2026!
Lok Sabha,District Authority Auditor,AJMER,AJMER,Rajasthan,Bhagirath Chaudhary,District Authority Auditor,auditor_ajmer,Auditor@Ajmer2026!
Lok Sabha,Member of Parliament (Lok Sabha),AJMER,AJMER,Rajasthan,Bhagirath Chaudhary,Member of Parliament,mp_ajmer,MP@Ajmer2026!
Lok Sabha,District Authority Auditor,AKBARPUR,AKBARPUR,Uttar Pradesh,Devendra Alias Bhole Singh,District Authority Auditor,auditor_akbarpur,Auditor@Akbarpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),AKBARPUR,AKBARPUR,Uttar Pradesh,Devendra Alias Bhole Singh,Member of Parliament,mp_akbarpur,MP@Akbarpur2026!
